fonte_recurso,campo,decisao_proposta,destino_finalidade,justificativa_individual,estado
legado,info_mesmo_imovel_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,nome_lograd_av_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,codg_lograd_av_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,numr_imovel_av_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,codg_bairro_av_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,nome_bairro_av_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,info_complem_av_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,codg_municipio_av_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,numr_cep_av_ipt,Excluir,Não migrar,"Endereço/controle de correspondência pessoal, não endereço do imóvel. Excluir do recorte da ficha consolidada; eventual uso em captação exige definição separada.",Proposta de revisão; não implementada
legado,numr_fone_ipt,Manter,Contato cadastral não validado,Preservar contato cadastral ligado à pessoa para futura conferência do Lab; não reconstruir DDD nem tratar como número atual/confirmado. Sem exposição pública ou disparo nesta etapa.,Proposta de revisão; não implementada
legado,totl_sublote_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,numr_sublote_princ_ipt,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,numr_frentes_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,frentes,Excluir,Não migrar,Coluna descritiva vazia em todo o original; preservar numr_frentes_ipt e dimensões de testada.,Proposta de revisão; não implementada
legado,qtde_area_terreno_ipt,Manter,Áreas separadas,"Áreas cadastrais por nível e valor original de referência; preservar conceito, origem e diferença sem equiparar a privativa.",Proposta de revisão; não implementada
legado,qtde_testada_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,qtde_area_edificada_ipt,Manter,Áreas separadas,"Áreas cadastrais por nível e valor original de referência; preservar conceito, origem e diferença sem equiparar a privativa.",Proposta de revisão; não implementada
legado,qtde_area_edif_total_ipt,Manter,Áreas separadas,"Áreas cadastrais por nível e valor original de referência; preservar conceito, origem e diferença sem equiparar a privativa.",Proposta de revisão; não implementada
legado,qtde_area_edif_total_ipt_original_legado,Manter,Áreas separadas,"Áreas cadastrais por nível e valor original de referência; preservar conceito, origem e diferença sem equiparar a privativa.",Proposta de revisão; não implementada
legado,info_propriedade_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_situacao_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,situacao_lote,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,info_topografia_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,topografia,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,info_nivel_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,nivel,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,info_solo_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,pedologia,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,uso_cod,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,uso,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_forma_uso_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,forma_uso,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_uso_do_solo_ipt,Manter,Classificação territorial,Uso do solo/zoneamento cadastral com interesse imobiliário; manter código de origem sem equiparar a zoneamento atual até tradução oficial.,Proposta de revisão; não implementada
legado,numr_inscr_atvecon_ipt,Excluir,Não migrar,Inscrição administrativa de atividade sem vínculo definido com a ficha do imóvel; uso/forma de uso serão mantidos.,Proposta de revisão; não implementada
legado,numr_pavimentos_ipt,Manter,Ficha cadastral,Características e contagens físicas; localizar na entidade certa e distinguir desconhecido de zero e quantidade de indicador de existência.,Proposta de revisão; não implementada
legado,numr_localiz_ipt,Manter,Ficha cadastral,Características e contagens físicas; localizar na entidade certa e distinguir desconhecido de zero e quantidade de indicador de existência.,Proposta de revisão; não implementada
legado,numr_elevadores_ipt,Manter,Ficha cadastral,Características e contagens físicas; localizar na entidade certa e distinguir desconhecido de zero e quantidade de indicador de existência.,Proposta de revisão; não implementada
legado,numr_vagas_cob_ipt,Manter,Ficha cadastral,Características e contagens físicas; localizar na entidade certa e distinguir desconhecido de zero e quantidade de indicador de existência.,Proposta de revisão; não implementada
legado,numr_vagas_desc_ipt,Manter,Ficha cadastral,Características e contagens físicas; localizar na entidade certa e distinguir desconhecido de zero e quantidade de indicador de existência.,Proposta de revisão; não implementada
legado,numr_garagens_ipt,Manter,Ficha cadastral,Características e contagens físicas; localizar na entidade certa e distinguir desconhecido de zero e quantidade de indicador de existência.,Proposta de revisão; não implementada
legado,info_posicao_edf_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_estrutura_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,estrutura,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_esquadria_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,esquadrias,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_piso_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,piso,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_forro_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,forro,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_inst_elet_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,instalacao_eletrica,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_inst_sanit_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,instalacao_sanitaria,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_rev_interno_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,revestimento_interno,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_ac_interno_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,acabamento_interno,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_rev_externo_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,revestimento_externo,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_ac_externo_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,acabamento_externo,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_cobertura_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,cobertura,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_conservacao_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,conservacao,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_agua_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,info_esgoto_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,info_ocupacao_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,ocupacao,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_fecho_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,numr_arvores_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,numr_postes_ipt,Manter,Ficha territorial,"Características, infraestrutura, contagens e dimensões do lote; validar domínio/unidade e não somar valores repetidos por apartamento.",Proposta de revisão; não implementada
legado,codg_edificio_ipt,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,numr_setor_inscr_ipt,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,numr_quadra_inscr_ipt,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,numr_lote_inscr_ipt,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,numr_sublote_inscr_ipt,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,numr_digito_inscr_ipt,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,numr_processo_ipt,Excluir,Não migrar,"Matrícula de operador, número de processo e comentário administrativo interno; explicitamente fora da migração.",Proposta de revisão; não implementada
legado,codg_status_rel_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,data_recad_geo_ipt,Excluir,Não migrar,Datas/controles de inclusão e recadastramento e horário de operação; não são idade do imóvel e não têm papel definido na ficha consolidada.,Proposta de revisão; não implementada
legado,codg_devolucao_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,info_zona_usosolo_ipt,Manter,Classificação territorial,Uso do solo/zoneamento cadastral com interesse imobiliário; manter código de origem sem equiparar a zoneamento atual até tradução oficial.,Proposta de revisão; não implementada
legado,endereco_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,descricao_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,qtde_area_terreno_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,qtde_area_edificada_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_topografia_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_solo_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_estrutura_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_esquadria_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_piso_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_forro_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_inst_elet_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_inst_sanit_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_rev_interno_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_ac_interno_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_rev_externo_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_ac_externo_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_cobertura_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_conservacao_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_ocupacao_rural_ipt,Manter,Ficha rural,Informação imobiliária rara mas presente; preservar campos rurais com unidade/domínio próprios. Não remover por baixa frequência nem equiparar domínio rural ao urbano.,Proposta de revisão; não implementada
legado,info_geradeb_habita_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,info_qtde_parcelas_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,data_referencia_ipt,Excluir,Não migrar,Referência temporal de significado não confirmado; não usar como atualização do imóvel nem migrar por ser uma data preenchida.,Proposta de revisão; não implementada
legado,info_total_sublote_virtual_ipt,Manter,Qualidade cadastral,Apoio para detectar unidades virtuais e contagens não físicas; domínio deve ser esclarecido antes de filtrar ou excluir registros.,Proposta de revisão; não implementada
legado,info_exclui_virtual_ipt,Manter,Qualidade cadastral,Apoio para detectar unidades virtuais e contagens não físicas; domínio deve ser esclarecido antes de filtrar ou excluir registros.,Proposta de revisão; não implementada
legado,hora_alteracao_ipt,Excluir,Não migrar,Datas/controles de inclusão e recadastramento e horário de operação; não são idade do imóvel e não têm papel definido na ficha consolidada.,Proposta de revisão; não implementada
legado,info_observacao_ipt,Excluir,Não migrar,"Matrícula de operador, número de processo e comentário administrativo interno; explicitamente fora da migração.",Proposta de revisão; não implementada
legado,qtde_area_consolid_ipt,Excluir,Não migrar,"Conceitos de área consolidada/ZPA não esclarecidos; excluir deste recorte até definição, sem preencher áreas conhecidas por semelhança de nome.",Proposta de revisão; não implementada
legado,tipo_revisao_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,valr_aliqrevisao_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,info_liminarcosip_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,qtde_area_zpa_ipt,Excluir,Não migrar,"Conceitos de área consolidada/ZPA não esclarecidos; excluir deste recorte até definição, sem preencher áreas conhecidas por semelhança de nome.",Proposta de revisão; não implementada
legado,super_bai_lograd_quadra_ipt,Excluir,Não migrar,Chaves compostas auxiliares redundantes para união por IPTU/vínculos explícitos; sem necessidade funcional adicional demonstrada.,Proposta de revisão; não implementada
legado,super_bairro_quadra_ipt,Excluir,Não migrar,Chaves compostas auxiliares redundantes para união por IPTU/vínculos explícitos; sem necessidade funcional adicional demonstrada.,Proposta de revisão; não implementada
